[None, array([90., 80., 70.], dtype=float32), array([0.00316052, 0.00316006, 0.00315938], dtype=float32), 0.0, array(85., dtype=float32), 85.0]
[None, array([90., 80., 70.], dtype=float32), array([0.00740828, 0.00743183, 0.0074395 ], dtype=float32), 1.3464394, array(85., dtype=float32), 83.653564]
[None, array([90., 80., 70.], dtype=float32), array([0.01068817, 0.01071683, 0.01072415], dtype=float32), 2.2192044, array(85., dtype=float32), 82.78079]
[None, array([90., 80., 70.], dtype=float32), array([0.01353913, 0.01356743, 0.01357206], dtype=float32), 2.9445, array(85., dtype=float32), 82.0555]
[None, array([90., 80., 70.], dtype=float32), array([0.0161446 , 0.01617021, 0.01617121], dtype=float32), 3.593678, array(85., dtype=float32), 81.40632]
[None, array([90., 80., 70.], dtype=float32), array([0.01859206, 0.01861379, 0.01861072], dtype=float32), 4.1962924, array(85., dtype=float32), 80.80371]
[None, array([90., 80., 70.], dtype=float32), array([0.02093074, 0.02094791, 0.02094053], dtype=float32), 4.767799, array(85., dtype=float32), 80.2322]
[None, array([90., 80., 70.], dtype=float32), array([0.02319125, 0.02320343, 0.0231916 ], dtype=float32), 5.31738, array(85., dtype=float32), 79.68262]
[None, array([90., 80., 70.], dtype=float32), array([0.0253939 , 0.02540082, 0.02538445], dtype=float32), 5.8509493, array(85., dtype=float32), 79.14905]
[None, array([90., 80., 70.], dtype=float32), array([0.02755282, 0.02755427, 0.02753331], dtype=float32), 6.372533, array(85., dtype=float32), 78.627464]
[None, array([90., 80., 70.], dtype=float32), array([0.02967816, 0.02967401, 0.02964842], dtype=float32), 6.8849807, array(85., dtype=float32), 78.11502]
[None, array([90., 80., 70.], dtype=float32), array([0.03177743, 0.03176759, 0.03173734], dtype=float32), 7.3903723, array(85., dtype=float32), 77.60963]
[None, array([90., 80., 70.], dtype=float32), array([0.03385628, 0.03384066, 0.03380574], dtype=float32), 7.890258, array(85., dtype=float32), 77.10974]
[None, array([90., 80., 70.], dtype=float32), array([0.03591901, 0.03589757, 0.03585795], dtype=float32), 8.385814, array(85., dtype=float32), 76.61419]
[None, array([90., 80., 70.], dtype=float32), array([0.03796896, 0.03794165, 0.03789734], dtype=float32), 8.877945, array(85., dtype=float32), 76.122055]
[None, array([90., 80., 70.], dtype=float32), array([0.04000873, 0.03997552, 0.0399265 ], dtype=float32), 9.367353, array(85., dtype=float32), 75.632645]
[None, array([90., 80., 70.], dtype=float32), array([0.04204036, 0.04200123, 0.0419475 ], dtype=float32), 9.854588, array(85., dtype=float32), 75.14542]
[None, array([90., 80., 70.], dtype=float32), array([0.04406548, 0.04402039, 0.04396195], dtype=float32), 10.340085, array(85., dtype=float32), 74.65991]
[None, array([90., 80., 70.], dtype=float32), array([0.04608536, 0.04603431, 0.04597115], dtype=float32), 10.824186, array(85., dtype=float32), 74.17581]
[None, array([90., 80., 70.], dtype=float32), array([0.04810103, 0.04804401, 0.04797613], dtype=float32), 11.307168, array(85., dtype=float32), 73.69283]
[None, array([90., 80., 70.], dtype=float32), array([0.05011331, 0.0500503 , 0.0499777 ], dtype=float32), 11.7892475, array(85., dtype=float32), 73.210754]
[None, array([90., 80., 70.], dtype=float32), array([0.05212286, 0.05205386, 0.05197653], dtype=float32), 12.270599, array(85., dtype=float32), 72.7294]
[None, array([90., 80., 70.], dtype=float32), array([0.0541302 , 0.0540552 , 0.05397315], dtype=float32), 12.751364, array(85., dtype=float32), 72.248634]
[None, array([90., 80., 70.], dtype=float32), array([0.05613576, 0.05605475, 0.05596798], dtype=float32), 13.231657, array(85., dtype=float32), 71.76834]
[None, array([90., 80., 70.], dtype=float32), array([0.05813988, 0.05805286, 0.05796136], dtype=float32), 13.711565, array(85., dtype=float32), 71.28844]
[None, array([90., 80., 70.], dtype=float32), array([0.06014284, 0.06004981, 0.05995358], dtype=float32), 14.191166, array(85., dtype=float32), 70.80884]
[None, array([90., 80., 70.], dtype=float32), array([0.06214485, 0.06204581, 0.06194485], dtype=float32), 14.670517, array(85., dtype=float32), 70.32948]
[None, array([90., 80., 70.], dtype=float32), array([0.06414611, 0.06404104, 0.06393535], dtype=float32), 15.149664, array(85., dtype=float32), 69.850334]
[None, array([90., 80., 70.], dtype=float32), array([0.06614675, 0.06603566, 0.06592524], dtype=float32), 15.628649, array(85., dtype=float32), 69.37135]
[None, array([90., 80., 70.], dtype=float32), array([0.06814688, 0.06802977, 0.06791463], dtype=float32), 16.107502, array(85., dtype=float32), 68.8925]
[None, array([90., 80., 70.], dtype=float32), array([0.07014662, 0.07002348, 0.06990361], dtype=float32), 16.586245, array(85., dtype=float32), 68.41376]
[None, array([90., 80., 70.], dtype=float32), array([0.07214603, 0.07201687, 0.07189227], dtype=float32), 17.064903, array(85., dtype=float32), 67.9351]
[None, array([90., 80., 70.], dtype=float32), array([0.07414517, 0.07400998, 0.07388066], dtype=float32), 17.54349, array(85., dtype=float32), 67.45651]
[None, array([90., 80., 70.], dtype=float32), array([0.0761441 , 0.07600289, 0.07586884], dtype=float32), 18.022022, array(85., dtype=float32), 66.97798]
[None, array([90., 80., 70.], dtype=float32), array([0.07814285, 0.07799562, 0.07785684], dtype=float32), 18.500507, array(85., dtype=float32), 66.4995]
[None, array([90., 80., 70.], dtype=float32), array([0.08014147, 0.07998821, 0.0798447 ], dtype=float32), 18.978954, array(85., dtype=float32), 66.02104]
[None, array([90., 80., 70.], dtype=float32), array([0.08213998, 0.08198069, 0.08183245], dtype=float32), 19.457373, array(85., dtype=float32), 65.542625]
[None, array([90., 80., 70.], dtype=float32), array([0.08413839, 0.08397307, 0.0838201 ], dtype=float32), 19.935766, array(85., dtype=float32), 65.06423]
[None, array([90., 80., 70.], dtype=float32), array([0.08613672, 0.08596538, 0.08580768], dtype=float32), 20.414139, array(85., dtype=float32), 64.58586]
[None, array([90., 80., 70.], dtype=float32), array([0.088135  , 0.08795762, 0.0877952 ], dtype=float32), 20.892496, array(85., dtype=float32), 64.107506]
