[None, array([98., 95., 87.], dtype=float32), array([0.00554424, 0.00563004, 0.0056722 ], dtype=float32), 0.88480234, array(96., dtype=float32), 95.1152]
[None, array([98., 95., 87.], dtype=float32), array([0.00918032, 0.00926803, 0.00930761], dtype=float32), 2.0792716, array(96., dtype=float32), 93.92073]
[None, array([98., 95., 87.], dtype=float32), array([0.01220636, 0.01229   , 0.01232468], dtype=float32), 2.99854, array(96., dtype=float32), 93.00146]
[None, array([98., 95., 87.], dtype=float32), array([0.01491621, 0.01499438, 0.01502384], dtype=float32), 3.7965097, array(96., dtype=float32), 92.20349]
[None, array([98., 95., 87.], dtype=float32), array([0.01743233, 0.01750458, 0.01752881], dtype=float32), 4.5252357, array(96., dtype=float32), 91.47476]
[None, array([98., 95., 87.], dtype=float32), array([0.01981892, 0.01988508, 0.01990414], dtype=float32), 5.209464, array(96., dtype=float32), 90.790535]
[None, array([98., 95., 87.], dtype=float32), array([0.02211416, 0.02217419, 0.02218816], dtype=float32), 5.8630905, array(96., dtype=float32), 90.13691]
[None, array([98., 95., 87.], dtype=float32), array([0.02434267, 0.02439656, 0.0244055 ], dtype=float32), 6.4947386, array(96., dtype=float32), 89.505264]
[None, array([98., 95., 87.], dtype=float32), array([0.02652122, 0.02656897, 0.02657294], dtype=float32), 7.110127, array(96., dtype=float32), 88.88987]
[None, array([98., 95., 87.], dtype=float32), array([0.02866169, 0.0287033 , 0.02870235], dtype=float32), 7.713229, array(96., dtype=float32), 88.28677]
[None, array([98., 95., 87.], dtype=float32), array([0.03077273, 0.03080823, 0.03080239], dtype=float32), 8.306903, array(96., dtype=float32), 87.6931]
[None, array([98., 95., 87.], dtype=float32), array([0.03286082, 0.03289022, 0.03287952], dtype=float32), 8.893257, array(96., dtype=float32), 87.10674]
[None, array([98., 95., 87.], dtype=float32), array([0.03493086, 0.03495417, 0.03493863], dtype=float32), 9.473878, array(96., dtype=float32), 86.52612]
[None, array([98., 95., 87.], dtype=float32), array([0.0369866 , 0.03700384, 0.03698348], dtype=float32), 10.0499735, array(96., dtype=float32), 85.95003]
[None, array([98., 95., 87.], dtype=float32), array([0.039031  , 0.03904216, 0.03901701], dtype=float32), 10.622483, array(96., dtype=float32), 85.37752]
[None, array([98., 95., 87.], dtype=float32), array([0.04106633, 0.04107143, 0.04104149], dtype=float32), 11.192135, array(96., dtype=float32), 84.80786]
[None, array([98., 95., 87.], dtype=float32), array([0.04309441, 0.04309345, 0.04305874], dtype=float32), 11.759503, array(96., dtype=float32), 84.24049]
[None, array([98., 95., 87.], dtype=float32), array([0.04511667, 0.04510967, 0.04507019], dtype=float32), 12.325044, array(96., dtype=float32), 83.67496]
[None, array([98., 95., 87.], dtype=float32), array([0.04713426, 0.04712121, 0.04707697], dtype=float32), 12.889114, array(96., dtype=float32), 83.110886]
[None, array([98., 95., 87.], dtype=float32), array([0.04914809, 0.04912899, 0.04908   ], dtype=float32), 13.452005, array(96., dtype=float32), 82.548]
[None, array([98., 95., 87.], dtype=float32), array([0.05115888, 0.05113374, 0.05108   ], dtype=float32), 14.013945, array(96., dtype=float32), 81.98605]
[None, array([98., 95., 87.], dtype=float32), array([0.05316723, 0.05313605, 0.05307757], dtype=float32), 14.575115, array(96., dtype=float32), 81.42488]
[None, array([98., 95., 87.], dtype=float32), array([0.0551736 , 0.05513639, 0.05507316], dtype=float32), 15.135668, array(96., dtype=float32), 80.864334]
[None, array([98., 95., 87.], dtype=float32), array([0.05717837, 0.05713513, 0.05706716], dtype=float32), 15.69572, array(96., dtype=float32), 80.30428]
[None, array([98., 95., 87.], dtype=float32), array([0.05918186, 0.05913258, 0.05905988], dtype=float32), 16.25537, array(96., dtype=float32), 79.74463]
[None, array([98., 95., 87.], dtype=float32), array([0.06118431, 0.061129  , 0.06105155], dtype=float32), 16.814692, array(96., dtype=float32), 79.18531]
[None, array([98., 95., 87.], dtype=float32), array([0.06318591, 0.06312457, 0.06304239], dtype=float32), 17.373749, array(96., dtype=float32), 78.62625]
[None, array([98., 95., 87.], dtype=float32), array([0.06518683, 0.06511945, 0.06503254], dtype=float32), 17.932594, array(96., dtype=float32), 78.067406]
[None, array([98., 95., 87.], dtype=float32), array([0.06718719, 0.06711379, 0.06702214], dtype=float32), 18.491264, array(96., dtype=float32), 77.508736]
[None, array([98., 95., 87.], dtype=float32), array([0.06918711, 0.06910767, 0.0690113 ], dtype=float32), 19.049795, array(96., dtype=float32), 76.9502]
[None, array([98., 95., 87.], dtype=float32), array([0.07118667, 0.0711012 , 0.0710001 ], dtype=float32), 19.608215, array(96., dtype=float32), 76.391785]
[None, array([98., 95., 87.], dtype=float32), array([0.07318593, 0.07309444, 0.0729886 ], dtype=float32), 20.16654, array(96., dtype=float32), 75.83346]
[None, array([98., 95., 87.], dtype=float32), array([0.07518496, 0.07508744, 0.07497687], dtype=float32), 20.724792, array(96., dtype=float32), 75.27521]
[None, array([98., 95., 87.], dtype=float32), array([0.07718379, 0.07708024, 0.07696494], dtype=float32), 21.282986, array(96., dtype=float32), 74.71701]
[None, array([98., 95., 87.], dtype=float32), array([0.07918247, 0.07907289, 0.07895286], dtype=float32), 21.841127, array(96., dtype=float32), 74.158875]
[None, array([98., 95., 87.], dtype=float32), array([0.08118103, 0.08106542, 0.08094066], dtype=float32), 22.399233, array(96., dtype=float32), 73.60077]
[None, array([98., 95., 87.], dtype=float32), array([0.08317948, 0.08305785, 0.08292836], dtype=float32), 22.957306, array(96., dtype=float32), 73.042694]
[None, array([98., 95., 87.], dtype=float32), array([0.08517785, 0.08505019, 0.08491597], dtype=float32), 23.515352, array(96., dtype=float32), 72.48465]
[None, array([98., 95., 87.], dtype=float32), array([0.08717615, 0.08704246, 0.08690351], dtype=float32), 24.073376, array(96., dtype=float32), 71.92662]
[None, array([98., 95., 87.], dtype=float32), array([0.0891744 , 0.08903468, 0.088891  ], dtype=float32), 24.631386, array(96., dtype=float32), 71.368614]
[None, array([98., 95., 87.], dtype=float32), array([0.0911726 , 0.09102686, 0.09087844], dtype=float32), 25.18938, array(96., dtype=float32), 70.81062]
[None, array([98., 95., 87.], dtype=float32), array([0.09317076, 0.09301899, 0.09286585], dtype=float32), 25.747364, array(96., dtype=float32), 70.25264]
[None, array([98., 95., 87.], dtype=float32), array([0.0951689 , 0.0950111 , 0.09485324], dtype=float32), 26.305336, array(96., dtype=float32), 69.694664]
[None, array([98., 95., 87.], dtype=float32), array([0.09716702, 0.09700319, 0.09684059], dtype=float32), 26.863304, array(96., dtype=float32), 69.136696]
[None, array([98., 95., 87.], dtype=float32), array([0.09916512, 0.09899526, 0.09882793], dtype=float32), 27.421265, array(96., dtype=float32), 68.578735]
[None, array([98., 95., 87.], dtype=float32), array([0.1011632 , 0.10098732, 0.10081525], dtype=float32), 27.979221, array(96., dtype=float32), 68.02078]
[None, array([98., 95., 87.], dtype=float32), array([0.10316128, 0.10297935, 0.10280256], dtype=float32), 28.537174, array(96., dtype=float32), 67.46283]
[None, array([98., 95., 87.], dtype=float32), array([0.10515933, 0.10497139, 0.10478986], dtype=float32), 29.095123, array(96., dtype=float32), 66.90488]
[None, array([98., 95., 87.], dtype=float32), array([0.10715739, 0.10696341, 0.10677715], dtype=float32), 29.653072, array(96., dtype=float32), 66.346924]
[None, array([98., 95., 87.], dtype=float32), array([0.10915543, 0.10895543, 0.10876444], dtype=float32), 30.211018, array(96., dtype=float32), 65.78899]
[None, array([98., 95., 87.], dtype=float32), array([0.11115348, 0.11094744, 0.11075173], dtype=float32), 30.768959, array(96., dtype=float32), 65.23104]
[None, array([98., 95., 87.], dtype=float32), array([0.11315151, 0.11293945, 0.112739  ], dtype=float32), 31.3269, array(96., dtype=float32), 64.673096]
[None, array([98., 95., 87.], dtype=float32), array([0.11514954, 0.11493145, 0.11472628], dtype=float32), 31.884842, array(96., dtype=float32), 64.11516]
[None, array([98., 95., 87.], dtype=float32), array([0.11714756, 0.11692345, 0.11671355], dtype=float32), 32.442783, array(96., dtype=float32), 63.557217]
[None, array([98., 95., 87.], dtype=float32), array([0.11914559, 0.11891545, 0.11870082], dtype=float32), 33.00072, array(96., dtype=float32), 62.99928]
[None, array([98., 95., 87.], dtype=float32), array([0.12114362, 0.12090745, 0.12068809], dtype=float32), 33.558662, array(96., dtype=float32), 62.441338]
[None, array([98., 95., 87.], dtype=float32), array([0.12314165, 0.12289944, 0.12267535], dtype=float32), 34.1166, array(96., dtype=float32), 61.8834]
[None, array([98., 95., 87.], dtype=float32), array([0.12513968, 0.12489144, 0.12466262], dtype=float32), 34.674538, array(96., dtype=float32), 61.325462]
[None, array([98., 95., 87.], dtype=float32), array([0.1271377 , 0.12688343, 0.12664987], dtype=float32), 35.232475, array(96., dtype=float32), 60.767525]
[None, array([98., 95., 87.], dtype=float32), array([0.12913573, 0.12887542, 0.12863714], dtype=float32), 35.790413, array(96., dtype=float32), 60.209587]
[None, array([98., 95., 87.], dtype=float32), array([0.13113375, 0.1308674 , 0.1306244 ], dtype=float32), 36.348347, array(96., dtype=float32), 59.651653]
[None, array([98., 95., 87.], dtype=float32), array([0.13313177, 0.1328594 , 0.13261166], dtype=float32), 36.90629, array(96., dtype=float32), 59.09371]
[None, array([98., 95., 87.], dtype=float32), array([0.1351298 , 0.13485138, 0.13459893], dtype=float32), 37.464226, array(96., dtype=float32), 58.535774]
[None, array([98., 95., 87.], dtype=float32), array([0.13712782, 0.13684337, 0.13658619], dtype=float32), 38.02216, array(96., dtype=float32), 57.97784]
[None, array([98., 95., 87.], dtype=float32), array([0.13912584, 0.13883536, 0.13857345], dtype=float32), 38.580093, array(96., dtype=float32), 57.419907]
[None, array([98., 95., 87.], dtype=float32), array([0.14112386, 0.14082734, 0.14056072], dtype=float32), 39.138035, array(96., dtype=float32), 56.861965]
[None, array([98., 95., 87.], dtype=float32), array([0.14312188, 0.14281933, 0.14254798], dtype=float32), 39.695972, array(96., dtype=float32), 56.304028]
[None, array([98., 95., 87.], dtype=float32), array([0.1451199 , 0.14481132, 0.14453524], dtype=float32), 40.253906, array(96., dtype=float32), 55.746094]
[None, array([98., 95., 87.], dtype=float32), array([0.14711793, 0.1468033 , 0.1465225 ], dtype=float32), 40.811844, array(96., dtype=float32), 55.188156]
[None, array([98., 95., 87.], dtype=float32), array([0.14911595, 0.14879529, 0.14850977], dtype=float32), 41.36978, array(96., dtype=float32), 54.63022]
[None, array([98., 95., 87.], dtype=float32), array([0.15111397, 0.15078728, 0.15049703], dtype=float32), 41.92772, array(96., dtype=float32), 54.07228]
[None, array([98., 95., 87.], dtype=float32), array([0.153112  , 0.15277927, 0.1524843 ], dtype=float32), 42.485657, array(96., dtype=float32), 53.514343]
[None, array([98., 95., 87.], dtype=float32), array([0.15511002, 0.15477125, 0.15447156], dtype=float32), 43.04359, array(96., dtype=float32), 52.95641]
[None, array([98., 95., 87.], dtype=float32), array([0.15710804, 0.15676324, 0.15645882], dtype=float32), 43.60153, array(96., dtype=float32), 52.39847]
[None, array([98., 95., 87.], dtype=float32), array([0.15910606, 0.15875523, 0.15844609], dtype=float32), 44.15947, array(96., dtype=float32), 51.84053]
[None, array([98., 95., 87.], dtype=float32), array([0.16110408, 0.16074722, 0.16043335], dtype=float32), 44.717403, array(96., dtype=float32), 51.282597]
[None, array([98., 95., 87.], dtype=float32), array([0.1631021 , 0.1627392 , 0.16242062], dtype=float32), 45.275337, array(96., dtype=float32), 50.724663]
[None, array([98., 95., 87.], dtype=float32), array([0.16510013, 0.16473119, 0.16440788], dtype=float32), 45.833275, array(96., dtype=float32), 50.166725]
[None, array([98., 95., 87.], dtype=float32), array([0.16709815, 0.16672318, 0.16639514], dtype=float32), 46.391216, array(96., dtype=float32), 49.608784]
[None, array([98., 95., 87.], dtype=float32), array([0.16909617, 0.16871516, 0.1683824 ], dtype=float32), 46.94915, array(96., dtype=float32), 49.05085]
[None, array([98., 95., 87.], dtype=float32), array([0.1710942 , 0.17070715, 0.17036967], dtype=float32), 47.507088, array(96., dtype=float32), 48.492912]
[None, array([98., 95., 87.], dtype=float32), array([0.17309222, 0.17269914, 0.17235693], dtype=float32), 48.065025, array(96., dtype=float32), 47.934975]
